YEAR,JURISDICTION,Sum(FINES),Sum(ARRESTS),Sum(CHARGES)
2008,ACT,2060,0,0
2008,NSW,631290,0,0
2008,NT,24536,0,0
2008,QLD,531385,0,0
2008,SA,130911,0,0
2008,TAS,66742,0,0
2008,VIC,1163775,0,0
2008,WA,244779,0,0
2009,ACT,1890,0,0
2009,NSW,554783,0,0
2009,NT,20999,0,0
2009,QLD,509222,0,0
2009,SA,121843,0,0
2009,TAS,73433,0,0
2009,VIC,1189691,0,0
2009,WA,269662,0,0
2010,ACT,61112,0,0
2010,NSW,441850,0,0
2010,NT,27773,0,0
2010,QLD,473635,0,0
2010,SA,105474,0,0
2010,TAS,41111,0,0
2010,VIC,1227188,0,0
2010,WA,312049,0,0
2011,ACT,59003,0,0
2011,NSW,436363,0,0
2011,NT,25362,0,0
2011,QLD,619103,0,0
2011,SA,75261,0,0
2011,TAS,27668,0,0
2011,VIC,1204185,0,0
2011,WA,569037,0,0
2012,ACT,55923,0,0
2012,NSW,475486,0,0
2012,NT,28452,0,0
2012,QLD,682227,0,0
2012,SA,66396,0,0
2012,TAS,9551,0,0
2012,VIC,1246534,0,0
2012,WA,606568,0,0
2013,ACT,53304,0,0
2013,NSW,460418,0,0
2013,NT,25594,0,0
2013,QLD,790903,0,0
2013,SA,86951,0,0
2013,TAS,10431,0,0
2013,VIC,1068438,0,0
2013,WA,558054,0,0
2014,ACT,46235,0,0
2014,NSW,503417,0,0
2014,NT,23388,0,0
2014,QLD,1029158,0,0
2014,SA,112448,0,0
2014,TAS,12506,0,0
2014,VIC,1349372,0,0
2014,WA,725895,0,0
2015,ACT,51513,0,0
2015,NSW,524560,0,0
2015,NT,25420,0,0
2015,QLD,1099670,0,0
2015,SA,97728,0,0
2015,TAS,18493,0,0
2015,VIC,1339799,0,0
2015,WA,768942,0,0
2016,ACT,56870,0,0
2016,NSW,533594,0,0
2016,NT,22774,0,0
2016,QLD,676518,0,0
2016,SA,194009,0,0
2016,TAS,19168,0,0
2016,VIC,1294567,0,0
2016,WA,582880,0,0
2017,ACT,54212,0,0
2017,NSW,795927,0,0
2017,NT,23102,0,0
2017,QLD,748760,0,0
2017,SA,174056,0,0
2017,TAS,15833,0,0
2017,VIC,1249473,0,0
2017,WA,778210,0,0
2018,ACT,68045,0,0
2018,NSW,740595,0,0
2018,NT,40871,0,0
2018,QLD,1043040,0,0
2018,SA,188111,0,0
2018,TAS,11223,0,0
2018,VIC,1646618,0,0
2018,WA,712848,0,0
2019,ACT,60602,0,0
2019,NSW,703611,0,0
2019,NT,43781,0,0
2019,QLD,1062369,0,0
2019,SA,214867,0,0
2019,TAS,9093,0,0
2019,VIC,1053208,0,0
2019,WA,699315,0,0
2020,ACT,58567,0,0
2020,NSW,1078761,0,0
2020,NT,43412,0,0
2020,QLD,921789,0,0
2020,SA,185497,0,0
2020,TAS,44049,0,0
2020,VIC,966180,0,0
2020,WA,706279,0,0
2021,ACT,114411,0,0
2021,NSW,1636304,0,0
2021,NT,40080,0,0
2021,QLD,1007870,0,0
2021,SA,210176,0,0
2021,TAS,42685,0,0
2021,VIC,1253576,0,0
2021,WA,816309,0,0
2022,ACT,415,0,0
2022,NSW,1435015,0,0
2022,NT,35110,0,0
2022,QLD,1026965,0,0
2022,SA,193825,0,0
2022,TAS,45600,0,0
2022,VIC,1405151,0,0
2022,WA,852073,0,0
2023,ACT,72584,215,708
2023,NSW,1115630,0,32683
2023,NT,44666,611,2289
2023,QLD,1006149,0,0
2023,SA,219314,1611,4761
2023,TAS,69772,0,2015
2023,VIC,1391859,0,0
2023,WA,814913,2136,17393
2024,ACT,96329,232,824
2024,NSW,1157994,0,32348
2024,NT,49714,768,3705
2024,QLD,934882,0,0
2024,SA,198326,1436,4761
2024,TAS,82166,19,2201
2024,VIC,888839,0,0
2024,WA,480474,2156,19044
